City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Bata,GQ,77.34,broken clouds,1.86,9.77,Hotel Elik Melen
292,Ponta Do Sol,PT,76.01,clear sky,32.67,-17.1,Hotel do Campo
294,Alcantara,BR,89.8,light rain,-2.41,-44.41,Pousada da Josefa
298,Dhulagari,IN,84.09,broken clouds,22.59,88.17,Sonar Bangla Resorts Banquets & Wedding Venue
303,Bubaque,GW,79.09,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
305,Merauke,ID,75.45,overcast clouds,-8.47,140.33,
310,Guerrero Negro,MX,81.3,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
311,Afonso Claudio,BR,81.86,few clouds,-20.07,-41.12,Pousada Afonso Cláudio
317,Aiquile,BO,76.08,broken clouds,-18.2,-65.18,Hotel Santa Ana
318,Riacho De Santana,BR,83.62,few clouds,-13.61,-42.94,Casa Nogueira
320,Babocsa,HU,75.65,few clouds,46.04,17.34,Öregmalomkő Falusi Szálláshely
322,Tuban,ID,75.67,broken clouds,-6.9,112.06,Hotel Mustika
323,Cayenne,GF,82.09,fog,4.93,-52.33,Hôtel Le Dronmi
329,Acarau,BR,84.72,few clouds,-2.89,-40.12,castelo pizzaria
331,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
332,Broome,US,77.7,overcast clouds,42.25,-75.83,Chenango Valley State Park
340,Xique-Xique,BR,86.32,clear sky,-10.82,-42.73,Hotel J. Macedo
345,Flin Flon,CA,78.64,smoke,54.77,-101.86,Victoria Inn Flin Flon
347,Kalmunai,LK,80.8,broken clouds,7.42,81.82,VS Villa
349,Dingle,PH,75.15,overcast clouds,11.0,122.67,SEGAYA PROPERTY
350,Fort Stewart,US,89.69,broken clouds,31.87,-81.61,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
352,Hami,CN,82.94,scattered clouds,42.8,93.45,Laoyutang Resort
353,Natal,BR,77.65,broken clouds,-5.8,-35.21,Villa Park Hotel | Natal
354,Ko Samui,TH,84.04,light rain,9.54,99.94,The Passage
355,Veraval,IN,81.0,overcast clouds,20.9,70.37,Lords Inn Somnath
356,Limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
360,San Cristobal,VE,77.18,overcast clouds,7.77,-72.22,Pirineos
362,Selcuk,TR,85.87,clear sky,37.95,27.37,Archeologica House Ephesus
363,Ishigaki,JP,84.33,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
364,Dhidhdhoo,MV,80.42,light rain,6.88,73.1,Dhidhoo beach
368,Honiara,SB,76.08,few clouds,-9.43,159.95,Heritage Park Hotel
371,Daru,PG,76.35,overcast clouds,-9.08,143.21,Daru Lodge
372,Pyinmana,MM,76.32,overcast clouds,19.73,96.22,Anh Mai Daung
373,Itarema,BR,84.15,clear sky,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
374,Salinopolis,BR,82.17,scattered clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
377,Akyab,MM,81.99,overcast clouds,20.15,92.9,Hotel Memory
378,Nuqui,CO,80.85,overcast clouds,5.71,-77.27,Hotel Nuquimar
380,Rolla,US,88.21,few clouds,37.95,-91.77,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
381,Beruwala,LK,79.63,broken clouds,6.48,79.98,The Palms Hotel
383,Melita,CA,83.53,broken clouds,49.27,-101.0,Western Star Hotel
384,Sapouy,BF,79.84,overcast clouds,11.55,-1.77,Auberge St Louis
385,Gat,IL,82.81,clear sky,31.61,34.76,OlusHome
390,Palomares,MX,85.15,scattered clouds,17.15,-95.07,Hotel Monarca
391,Steamboat Springs,US,86.94,clear sky,40.48,-106.83,Steamboat Grand
392,Pirgos,GR,82.62,clear sky,35.12,25.72,Elpida Village
395,Zhaoqing,CN,84.81,overcast clouds,23.05,112.46,七星岩旅游度假区
396,Lompoc,US,77.92,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
398,Rockland,US,81.77,heavy intensity rain,41.17,-74.05,National Camp Association
399,Aquiraz,BR,89.46,clear sky,-3.9,-38.39,Hotel Laguna Blu
406,Pontianak,ID,75.18,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
408,Aba,NG,77.09,overcast clouds,5.11,7.37,Mickeys Guest House
409,Nador,MA,82.47,broken clouds,35.17,-2.93,Hôtel La Giralda
413,Bonfim,BR,88.05,overcast clouds,3.08,-59.95,
419,Porto Walter,BR,81.45,overcast clouds,-8.27,-72.74,Hotel Silva
420,Kapit,MY,75.76,overcast clouds,2.02,112.93,Hotel Meligai Kapit
421,Kattivakkam,IN,86.09,overcast clouds,13.22,80.32,Euronova Freezer
426,Cravo Norte,CO,79.75,light rain,6.3,-70.2,Hotel El Puerto
430,Amapa,BR,79.88,broken clouds,1.0,-52.0,
432,Adeje,ES,77.86,clear sky,28.12,-16.73,Gran Tacande Wellness & Relax
434,Massaguet,TD,85.98,scattered clouds,12.48,15.44,Alwatane
437,Les Cayes,HT,89.73,few clouds,18.2,-73.75,Villa Orphee
441,Sabha,LY,89.82,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
444,Kutum,SD,85.89,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
445,Bambanglipuro,ID,75.31,broken clouds,-7.95,110.28,Puri Brata
446,Namatanai,PG,78.06,overcast clouds,-3.67,152.43,Seagulls Inn Namatani
449,Kudahuvadhoo,MV,81.66,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
450,Mudon,MM,78.37,broken clouds,16.26,97.72,Motel Mudon
452,Pilar,BR,80.53,few clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
454,Albanel,CA,86.14,few clouds,48.88,-72.45,Camping municipal d'Albanel
456,Basco,PH,84.97,overcast clouds,20.45,121.97,Nathaniel's Lodge
461,Orodara,BF,75.61,light rain,10.95,-4.93,Bkf Orodara
466,Southbridge,US,77.11,light rain,42.08,-72.03,Southbridge Hotel & Conference Center
471,Kaseda,JP,81.66,overcast clouds,31.42,130.32,Sun Stay Kaseda
473,Yaring,TH,80.37,broken clouds,6.87,101.37,pharmacy สามินี
476,Isangel,VU,76.15,scattered clouds,-19.55,169.27,Tanna Lodge
477,Hobyo,SO,76.75,overcast clouds,5.35,48.53,Iftin hotel hobyo
479,Torbay,CA,80.89,scattered clouds,47.67,-52.73,Gallows Cove
482,Shingu,JP,79.05,moderate rain,33.73,135.98,Shingu UI Hotel
486,Mitsamiouli,KM,76.28,broken clouds,-11.38,43.28,Foyer ADM
490,Chapada Dos Guimaraes,BR,78.46,few clouds,-15.46,-55.75,Pousada Morro Dos Ventos
497,Grafton,US,79.32,light rain,42.21,-71.69,The Grafton Inn
498,Bonthe,SL,77.43,light rain,7.53,-12.5,Bonthe Holiday Village
499,Kuantan,MY,80.71,scattered clouds,3.81,103.33,Hotel Sentral Kuantan
500,Labuhan,ID,76.03,broken clouds,-6.88,112.21,DoubleFAG
501,Elko,US,88.05,few clouds,41.0,-115.5,
502,Newtownards,GB,81.34,scattered clouds,54.59,-5.69,Strangford Arms Hotel
506,Wajir,KE,82.24,broken clouds,1.75,40.06,Al- Amin lodge
514,Kokopo,PG,76.69,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
