City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Awjilah,LY,2022-07-15 21:02:07,29.1081,21.2869,78.85,47,0,15.61
107,San Policarpo,PH,2022-07-15 21:02:07,12.1791,125.5072,78.64,85,27,3.87
108,Looc,PH,2022-07-15 21:02:08,12.2605,121.9926,80.69,82,96,3.4
109,Buluang,PH,2022-07-15 21:02:08,13.3068,123.3425,77.99,91,89,1.36
110,Faanui,PF,2022-07-15 21:02:09,-16.4833,-151.75,77.83,59,76,19.6
111,Macapa,BR,2022-07-15 20:59:12,0.0389,-51.0664,91.38,62,20,10.36
112,Bambous Virieux,MU,2022-07-15 21:02:10,-20.3428,57.7575,68.22,80,96,17.67
113,Barcelos,PT,2022-07-15 21:00:51,41.5388,-8.6151,75.85,84,27,2.42
114,Airai,TL,2022-07-15 21:02:10,-8.9266,125.4092,53.69,90,96,3.96
115,Goderich,CA,2022-07-15 21:02:11,43.7501,-81.7165,75.9,58,93,7.61
116,Totness,SR,2022-07-15 21:02:11,5.8833,-56.3167,79.38,87,85,8.48
117,Jiuquan,CN,2022-07-15 21:02:12,39.7432,98.5174,70.47,47,100,2.06
118,Saint-Philippe,RE,2022-07-15 21:02:12,-21.3585,55.7679,65.21,83,60,11.81
119,Torbay,CA,2022-07-15 21:02:08,47.6666,-52.7314,70.88,88,100,1.01
120,Lorengau,PG,2022-07-15 21:02:13,-2.0226,147.2712,80.08,78,91,9.95
121,Aksarka,RU,2022-07-15 21:02:14,66.5606,67.7975,54.43,60,24,7.25
122,Butaritari,KI,2022-07-15 21:02:14,3.0707,172.7902,81.54,82,100,19.46
123,Carnarvon,AU,2022-07-15 21:02:15,-24.8667,113.6333,63.99,61,0,12.19
124,Hithadhoo,MV,2022-07-15 21:02:15,-0.6,73.0833,83.39,74,97,16.15
125,Eunice,US,2022-07-15 20:58:01,30.4944,-92.4176,91.29,51,21,6.26
126,Mar Del Plata,AR,2022-07-15 21:00:07,-38.0023,-57.5575,51.1,93,100,7.0
127,Port-Gentil,GA,2022-07-15 21:02:16,-0.7193,8.7815,75.16,83,75,8.05
128,Taksimo,RU,2022-07-15 21:02:17,56.3444,114.8794,60.28,96,98,1.23
129,Qaqortoq,GL,2022-07-15 21:02:17,60.7167,-46.0333,44.71,83,29,7.99
130,Cidreira,BR,2022-07-15 21:02:18,-30.1811,-50.2056,62.31,97,99,10.42
131,Rosetta,EG,2022-07-15 21:02:18,31.4044,30.4164,76.41,71,0,11.32
132,Starodub,RU,2022-07-15 21:02:19,52.5844,32.7633,53.22,94,0,7.45
133,Verkhnyaya Inta,RU,2022-07-15 21:02:19,65.9811,60.3094,68.88,73,70,15.86
134,Murud,IN,2022-07-15 21:02:20,18.3258,72.965,80.15,85,100,18.32
135,Lensk,RU,2022-07-15 21:03:20,60.7253,114.9278,63.25,100,100,3.09
136,Ponta Do Sol,PT,2022-07-15 21:03:20,32.6667,-17.1,74.01,81,19,6.17
137,Nowa Deba,PL,2022-07-15 21:03:21,50.4297,21.7508,59.83,60,46,4.38
138,Raga,SS,2022-07-15 21:03:21,8.4596,25.678,69.93,85,100,2.39
139,Guerrero Negro,MX,2022-07-15 21:03:21,27.9769,-114.0611,77.07,58,10,17.31
140,Usinsk,RU,2022-07-15 21:03:22,65.9939,57.5281,69.75,69,33,7.16
141,Alofi,NU,2022-07-15 21:03:09,-19.0595,-169.9187,77.68,69,81,21.54
